time,lat,lon,freq_index,peak_val,noise_mean
20260805_130802,43.137716,-70.930871,7,6,2
20260805_130802,43.137716,-70.930871,8,3,1
20260805_130803,43.137715,-70.930871,9,2,1
20260805_130803,43.137715,-70.930871,10,2,1
20260805_130804,43.137715,-70.930871,11,2,0
20260805_130805,43.137715,-70.930871,12,2,1
20260805_130805,43.137715,-70.93087,13,2,1
20260805_130806,43.137715,-70.93087,14,2,1
20260805_130806,43.137715,-70.93087,15,2,1
20260805_130807,43.137715,-70.93087,16,1,0
20260805_130807,43.137715,-70.93087,17,1,0
20260805_130808,43.137715,-70.93087,18,2,1
20260805_130808,43.137715,-70.93087,19,3,1
20260805_130809,43.137715,-70.93087,20,2,1
20260805_130809,43.137715,-70.93087,0,2,0
20260805_130810,43.137715,-70.93087,1,1,0
20260805_130810,43.137715,-70.93087,2,1,0
20260805_130811,43.137715,-70.93087,3,3,1
20260805_130811,43.137715,-70.93087,4,2,0
20260805_130812,43.137715,-70.93087,5,2,1
20260805_130812,43.137715,-70.93087,6,4,1
20260805_130813,43.137715,-70.93087,7,6,2
20260805_130813,43.137715,-70.93087,8,2,1
20260805_130814,43.137715,-70.93087,9,3,1
20260805_130814,43.137715,-70.930869,10,2,1
20260805_130815,43.137715,-70.930869,11,2,1
20260805_130815,43.137715,-70.930869,12,2,1
20260805_130816,43.137715,-70.930869,13,2,1
20260805_130816,43.137715,-70.930869,14,2,1
20260805_130817,43.137715,-70.930869,15,2,1
20260805_130817,43.137715,-70.930869,16,2,1
20260805_130818,43.137715,-70.930869,17,2,1
20260805_130818,43.137715,-70.930869,18,2,1
20260805_130819,43.137715,-70.930869,19,2,1
20260805_130819,43.137715,-70.930869,20,1,0
20260805_130820,43.137715,-70.930869,0,2,0
20260805_130820,43.137715,-70.930869,1,2,1
20260805_130821,43.137715,-70.930869,2,1,0
20260805_130821,43.137715,-70.930869,3,3,1
20260805_130822,43.137715,-70.930869,4,2,1
20260805_130822,43.137715,-70.930869,5,2,1
20260805_130823,43.137715,-70.930869,6,4,1
20260805_130823,43.137715,-70.930869,7,6,2
20260805_130824,43.137715,-70.930869,8,2,1
20260805_130824,43.137715,-70.930868,9,2,1
20260805_130825,43.137715,-70.930868,10,1,1
20260805_130825,43.137715,-70.930868,11,1,0
20260805_130826,43.137715,-70.930868,12,2,1
20260805_130826,43.137715,-70.930868,13,1,0
20260805_130827,43.137715,-70.930868,14,2,0
20260805_130827,43.137715,-70.930868,15,2,1
20260805_130828,43.137715,-70.930868,16,2,0
20260805_130828,43.137715,-70.930868,17,2,1
20260805_130829,43.137715,-70.930868,18,2,1
20260805_130829,43.137715,-70.930868,19,3,1
20260805_130830,43.137715,-70.930868,20,2,1
20260805_130830,43.137715,-70.930868,0,2,1
20260805_130831,43.137715,-70.930868,1,1,0
20260805_130831,43.137715,-70.930868,2,2,1
20260805_130832,43.137715,-70.930868,3,3,1
20260805_130832,43.137715,-70.930868,4,2,0
20260805_130833,43.137715,-70.930868,5,2,1
20260805_130833,43.137715,-70.930868,6,4,1
20260805_130834,43.137715,-70.930868,7,6,2
20260805_130834,43.137715,-70.930868,8,3,1
20260805_130835,43.137715,-70.930868,9,2,1
20260805_130835,43.137715,-70.930868,10,2,1
20260805_130836,43.137715,-70.930868,11,2,1
20260805_130836,43.137715,-70.930868,12,2,1
20260805_130837,43.137715,-70.930868,13,2,1
20260805_130837,43.137715,-70.930868,14,2,1
20260805_130838,43.137715,-70.930868,15,2,1
20260805_130838,43.137715,-70.930868,16,2,1
20260805_130839,43.137715,-70.930868,17,2,1
20260805_130839,43.137715,-70.930868,18,2,1
20260805_130840,43.137715,-70.930868,19,3,1
20260805_130840,43.137715,-70.930868,20,2,1
20260805_130841,43.137715,-70.930869,0,2,1
20260805_130841,43.137715,-70.930869,1,1,0
20260805_130842,43.137715,-70.930869,2,2,1
20260805_130842,43.137715,-70.930869,3,3,1
20260805_130843,43.137715,-70.930869,4,2,0
20260805_130843,43.137715,-70.930869,5,2,1
20260805_130844,43.137715,-70.930869,6,4,1
20260805_130844,43.137715,-70.930869,7,5,2
20260805_130845,43.137715,-70.930869,8,2,1
20260805_130846,43.137715,-70.930869,9,2,1
20260805_130846,43.137715,-70.930869,10,2,1
20260805_130847,43.137715,-70.930869,11,2,0
20260805_130847,43.137715,-70.930869,12,2,1
20260805_130848,43.137715,-70.930869,13,2,1
20260805_130848,43.137715,-70.930869,14,2,1
20260805_130849,43.137715,-70.930869,15,3,1
20260805_130849,43.137715,-70.930869,16,2,1
20260805_130850,43.137715,-70.930869,17,2,1
20260805_130850,43.137715,-70.930869,18,2,1
20260805_130851,43.137715,-70.930869,19,3,1
20260805_130851,43.137715,-70.930869,20,2,1
20260805_130852,43.137715,-70.930869,0,2,1
20260805_130852,43.137715,-70.930869,1,2,1
20260805_130853,43.137715,-70.930869,2,2,1
20260805_130853,43.137715,-70.930869,3,3,1
20260805_130854,43.137715,-70.930869,4,2,1
20260805_130854,43.137715,-70.930869,5,2,1
20260805_130855,43.137715,-70.930869,6,4,1
20260805_130855,43.137715,-70.930869,7,6,2
20260805_130856,43.137715,-70.930869,8,2,1
20260805_130856,43.137715,-70.930869,9,3,1
20260805_130857,43.137715,-70.930869,10,2,1
20260805_130857,43.137715,-70.930869,11,2,1
20260805_130858,43.137715,-70.930869,12,2,1
20260805_130858,43.137715,-70.930869,13,2,1
20260805_130859,43.137715,-70.930869,14,1,0
20260805_130859,43.137715,-70.93087,15,2,1
20260805_130900,43.137715,-70.93087,16,2,1
20260805_130900,43.137715,-70.93087,17,2,1
20260805_130901,43.137715,-70.93087,18,2,1
20260805_130901,43.137715,-70.93087,19,3,1
20260805_130902,43.137715,-70.93087,20,2,1
20260805_130902,43.137715,-70.93087,0,3,1
20260805_130903,43.137715,-70.93087,1,2,1
20260805_130903,43.137716,-70.93087,2,2,1
20260805_130904,43.137716,-70.93087,3,3,1
20260805_130904,43.137716,-70.93087,4,2,0
20260805_130905,43.137716,-70.93087,5,2,1
20260805_130905,43.137716,-70.93087,6,4,1
20260805_130906,43.137716,-70.93087,7,6,2
20260805_130906,43.137716,-70.93087,8,3,1
20260805_130907,43.137716,-70.93087,9,3,1
20260805_130907,43.137716,-70.93087,10,2,1
20260805_130908,43.137716,-70.93087,11,2,1
20260805_130908,43.137716,-70.93087,12,2,1
20260805_130909,43.137716,-70.93087,13,2,1
20260805_130909,43.137716,-70.930871,14,2,1
20260805_130910,43.137716,-70.930871,15,2,1
20260805_130910,43.137716,-70.930871,16,2,1
20260805_130911,43.137716,-70.930871,17,2,1
20260805_130911,43.137716,-70.930871,18,2,1
20260805_130912,43.137716,-70.930871,19,3,1
20260805_130912,43.137716,-70.930871,20,1,0
20260805_130913,43.137717,-70.930871,0,2,1
20260805_130913,43.137717,-70.930871,1,1,0
20260805_130914,43.137717,-70.930871,2,1,0
20260805_130914,43.137717,-70.930871,3,3,1
20260805_130915,43.137717,-70.930871,4,2,1
20260805_130915,43.137717,-70.930871,5,2,1
20260805_130916,43.137717,-70.930871,6,4,1
20260805_130916,43.137717,-70.930871,7,6,2
20260805_130917,43.137717,-70.930871,8,2,1
20260805_130917,43.137717,-70.930871,9,2,1
20260805_130918,43.137717,-70.930871,10,1,0
